title,description,class
Star Trek,"description: The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.; categories: Action,Adventure,Sci-Fi",Pelicula
Diary of a Wimpy Kid,"description: The adventures of a teenager who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.; categories: Comedy,Family",Pelicula
The Big Short,"description: Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight.; categories: Biography,Comedy,Drama",Pelicula
Room,description: A young boy is raised within the confines of a small shed.; categories: Drama,Pelicula
Django Unchained,"description: With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.; categories: Drama,Western",Pelicula
Ah-ga-ssi,"description: A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.; categories: Drama,Mystery,Romance",Pelicula
The Edge of Seventeen,"description: High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.; categories: Comedy,Drama",Pelicula
Watchmen,"description: In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.; categories: Action,Drama,Mystery",Pelicula
Superbad,description: Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.; categories: Comedy,Pelicula
Inferno,"description: When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.; categories: Action,Adventure,Crime",Pelicula
The BFG,"description: An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.; categories: Adventure,Family,Fantasy",Pelicula
The Hunger Games,"description: Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.; categories: Adventure,Sci-Fi,Thriller",Pelicula
White Girl,"description: Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.; categories: Drama",Pelicula
Sicario,"description: An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.; categories: Action,Crime,Drama",Pelicula
Twin Peaks: The Missing Pieces,"description: Twin Peaks before Twin Peaks (1990) and at the same time not always and entirely in the same place as Twin Peaks: Fire Walk with Me (1992). A feature film which presents deleted scenes from Twin Peaks: Fire Walk with Me (1992) assembled together for the first time in an untold portion of the story's prequel.; categories: Drama,Horror,Mystery",Pelicula
Aliens vs Predator - Requiem,"description: Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival.; categories: Action,Horror,Sci-Fi",Pelicula
Pacific Rim,"description: As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.; categories: Action,Adventure,Sci-Fi",Pelicula
"Crazy, Stupid, Love.","description: A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.; categories: Comedy,Drama,Romance",Pelicula
Scott Pilgrim vs. the World,"description: Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.; categories: Action,Comedy,Fantasy",Pelicula
Hot Fuzz,"description: Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents.; categories: Action,Comedy,Mystery",Pelicula
Mine,"description: After a failed assassination attempt, a soldier finds himself stranded in the desert. Exposed to the elements, he must survive the dangers of the desert and battle the psychological and physical tolls of the treacherous conditions.; categories: Thriller,War",Pelicula
Free Fire,"description: Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival.; categories: Action,Comedy,Crime",Pelicula
